phone,sid,uuid,answers,notes
7609300933,CA6b153fc0a5fb013390ac051b87f4cd3f,6060a5d0-9f77-0133-17a5-6b8d2b72c776,"{""9098"":45505,""9099"":45512}","{""2538"":""This is a note for 2538 on Satellite Callers""}"
7609300905,CA6b56dd30a5fb013390ac051b87f4cd3f,60606e30-9f77-0133-17a5-6b8d2b72c776,"{""9098"":45504,""9099"":45512}","{""2538"":""This is a note for 2538 on Satellite Callers""}"
7609298128,CA6b584480a5fb013390ac051b87f4cd3f,605d09b0-9f77-0133-17a5-6b8d2b72c776,"{""9098"":45508,""9099"":45511}","{""2538"":""This is a note for 2538 on Satellite Callers""}"
7609300141,CA6b5aa0d0a5fb013390ac051b87f4cd3f,605f5000-9f77-0133-17a5-6b8d2b72c776,"{""9098"":45506,""9099"":45510}","{""2538"":""This is a note for 2538 on Satellite Callers""}"
7609300015,CA6b5d68d0a5fb013390ac051b87f4cd3f,605f1d70-9f77-0133-17a5-6b8d2b72c776,"{""9098"":45506,""9099"":45510}","{""2538"":""This is a note for 2538 on Satellite Callers""}"
7609299979,CA6b5f3050a5fb013390ac051b87f4cd3f,605effe0-9f77-0133-17a5-6b8d2b72c776,"{""9098"":45502,""9099"":45511}","{""2538"":""This is a note for 2538 on Satellite Callers""}"
7609300970,CA6b5fe750a5fb013390ac051b87f4cd3f,6060af20-9f77-0133-17a5-6b8d2b72c776,"{""9098"":45506,""9099"":45510}","{""2538"":""This is a note for 2538 on Satellite Callers""}"
7609298784,CA6b6204c0a5fb013390ac051b87f4cd3f,605df4d0-9f77-0133-17a5-6b8d2b72c776,"{""9098"":45509,""9099"":45510}","{""2538"":""This is a note for 2538 on Satellite Callers""}"
7609298606,CA6b638ad0a5fb013390ac051b87f4cd3f,605d9c10-9f77-0133-17a5-6b8d2b72c776,"{""9098"":45503,""9099"":45512}","{""2538"":""This is a note for 2538 on Satellite Callers""}"
7609298285,CA6b66d340a5fb013390ac051b87f4cd3f,605d3f30-9f77-0133-17a5-6b8d2b72c776,"{""9098"":45506,""9099"":45511}","{""2538"":""This is a note for 2538 on Satellite Callers""}"
7609290966,CA6b678e20a5fb013390ac051b87f4cd3f,605b7ea0-9f77-0133-17a5-6b8d2b72c776,"{""9098"":45505,""9099"":45511}","{""2538"":""This is a note for 2538 on Satellite Callers""}"
7609298138,CA6b6a7840a5fb013390ac051b87f4cd3f,605d1140-9f77-0133-17a5-6b8d2b72c776,"{""9098"":45505,""9099"":45510}","{""2538"":""This is a note for 2538 on Satellite Callers""}"
7609292880,CA6b6b5670a5fb013390ac051b87f4cd3f,605cd4a0-9f77-0133-17a5-6b8d2b72c776,"{""9098"":45504,""9099"":45510}","{""2538"":""This is a note for 2538 on Satellite Callers""}"
7609291569,CA6b6d5fd0a5fb013390ac051b87f4cd3f,605c12d0-9f77-0133-17a5-6b8d2b72c776,"{""9098"":45507,""9099"":45511}","{""2538"":""This is a note for 2538 on Satellite Callers""}"
7609291057,CA6b6e1b60a5fb013390ac051b87f4cd3f,605b8e10-9f77-0133-17a5-6b8d2b72c776,"{""9098"":45502,""9099"":45512}","{""2538"":""This is a note for 2538 on Satellite Callers""}"
7609290480,CA6b6f2170a5fb013390ac051b87f4cd3f,605b0f20-9f77-0133-17a5-6b8d2b72c776,"{""9098"":45505,""9099"":45511}","{""2538"":""This is a note for 2538 on Satellite Callers""}"
7609189866,CA6b6fc3e0a5fb013390ac051b87f4cd3f,605a36e0-9f77-0133-17a5-6b8d2b72c776,"{""9098"":45503,""9099"":45512}","{""2538"":""This is a note for 2538 on Satellite Callers""}"
7609301961,CA6b704d80a5fb013390ac051b87f4cd3f,60611210-9f77-0133-17a5-6b8d2b72c776,"{""9098"":45507,""9099"":45512}","{""2538"":""This is a note for 2538 on Satellite Callers""}"
7609291985,CA6b70da20a5fb013390ac051b87f4cd3f,605c8a50-9f77-0133-17a5-6b8d2b72c776,"{""9098"":45504,""9099"":45510}","{""2538"":""This is a note for 2538 on Satellite Callers""}"
7609300930,CA6b722990a5fb013390ac051b87f4cd3f,606082f0-9f77-0133-17a5-6b8d2b72c776,"{""9098"":45505,""9099"":45512}","{""2538"":""This is a note for 2538 on Satellite Callers""}"
